"","model_name","pres.aic.tt","delta_aic","tss.tt"
"1","Null",10612.6755984206,-1551.91972333744,0.113238941239852
"2","T+O",9481.92421503481,-421.16833995165,0.136074729687983
"3","T+MI",9540.37710552489,-479.621230441731,0.134158812913575
"4","T+S",9732.57911938467,-671.823244301511,0.130532046418092
"5","T+Z",9590.05712157898,-529.301246495821,0.129609313327942
"6","T+O+Z",9119.12850674637,-58.372631663211,0.138579147186723
"7","T+O+S",9367.99892922876,-307.2430541456,0.137991256442885
"8","T+O+S+Z",9061.38088333197,-0.625008248811355,0.143766458805663
"9","T+O+T:O",9481.92275144671,-421.16687636355,0.136074729687983
"10","T+O+MI",9458.36788291044,-397.61200782728,0.136340435722075
"11","T+O+MI+S+Z",9060.75587508316,0,0.143962887767714
"12","T+O+T:O+S+Z",9061.45445692312,-0.698581839960752,0.143793942791204
"13","MI+S",9517.89791085768,-457.142035774521,0.133436943766643
"14","MI+Z",9236.62906139658,-175.87318631342,0.137399223795863
"15","MI+S+Z",9186.12911260901,-125.37323752585,0.142918682737132
"16","T:O+S",9643.72090258457,-582.96502750141,0.135323144538395
"17","T:O+Z",9368.87693073011,-308.12105564695,0.136835892399279
"18","T:O+S+Z",9368.21859243995,-307.46271735679,0.137370835591279
